txn_id,auth_id,pan,pan_first6,pan_last4,exp_date,card_brand,card_prod,txn_date,txn_time,txn_datetime,amt,curr,bill_amt,bill_curr,txn_type,proc_code,merch_id,merch_name,mcc,merch_city,merch_state,merch_country,merch_zip,term_id,pos_mode,pos_cond,auth_code,resp_code,resp_msg,avs,cvv,acq_id,acq_bin,iss_bin,net_ref,int_fee,net_fee,rrn,trace,batch,settle_date,fraud_flag,3ds,bank_name,data_source,record_created_at
IDBI0000009317,A00009317,453224******3128,453224,3128,0229,VISA,DEBIT,26/12/2025,23:10:58,,7187.83,INR,,,01,000000,M139304,Yadav and Sons,5999,Mumbai,,IN,,T82451,81,00,,14,Approved,Y,M,IDBI0001,453221,453224,V244356992,,4.73,R000000009317,009317,5570,27/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.023995
IDBI0000008483,A00008483,453224******8580,453224,8580,1228,VISA,CREDIT,2025-12-14,23:10:57,,5670.03,INR,,,01,000000,M754608,Sha-Oak,,Mumbai,,IN,302127,T13121,81,00,I094SG,14,Insufficient funds,U,N,IDBI0001,453223,453224,V642351811,52.27,5.29,R000000008483,008483,2645,15/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.953679
IDBI0000009754,A00009754,453221******3448,453221,3448,0827,VISA,DEBIT,28/12/2025,23:10:58,,5223.46,INR,,,00,000000,M317456,"Murthy, Bhatt and Dass",5814,,,IN,609610,T79672,81,00,,14,Do not honor,Y,N,IDBI0001,453224,453221,V895497337,67.27,,R000000009754,009754,2195,29/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.067809
IDBI0000008052,A00008052,453224******5560,453224,5560,1228,VISA,DEBIT,2025-12-21,23:10:57,,1259.1,INR,,,00,000000,M534610,Chander-Ravi,,Jaipur,,IN,,T10363,02,00,X171ZA,14,Do not honor,,,IDBI0001,453223,453224,V855633031,,,R000000008052,008052,5490,22/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.918459
IDBI0000009760,A00009760,453223******4659,453223,4659,0229,VISA,CREDIT,07/12/2025,23:10:58,,5543.17,INR,,,00,000000,M774758,"Dubey, Thaker and Ahluwalia",5661,Lucknow,,IN,,T99256,02,00,,51,Do not honor,N,,IDBI0001,453222,453223,V838724779,67.18,8.99,R000000009760,009760,9219,08/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:58.070377
IDBI0000009922,A00009922,453224******3427,453224,3427,0826,VISA,CREDIT,01/01/2026,23:10:58,,5869.16,INR,,,00,000000,M937929,Ramaswamy-Khanna,5691,Delhi,,IN,480703,T17215,05,00,D177SH,14,Do not honor,Y,M,IDBI0001,453223,453224,V791508704,,14.04,R000000009922,009922,8806,02/01/2026,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.082636
IDBI0000008322,A00008322,453223******5247,453223,5247,0126,VISA,DEBIT,2025-12-07,23:10:57,,2958.71,INR,,,20,000000,M860743,Rai-Sant,,Hyderabad,,IN,160958,T47434,02,00,E942CB,91,Do not honor,,,IDBI0001,453222,453223,V568659478,24.38,5.67,R000000008322,008322,9099,08/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.941135
IDBI0000009879,A00009879,453223******7685,453223,7685,0526,VISA,CREDIT,2025-12-05,23:10:58,,8679.99,INR,,,20,000000,M950264,Gandhi LLC,5812,Bangalore,,IN,,T49559,02,00,V211HZ,14,Approved,U,,IDBI0001,453224,453223,V410304543,,18.48,R000000009879,009879,9528,06/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:58.077137
IDBI0000009380,A00009380,453224******8046,453224,8046,0130,VISA,CREDIT,13/12/2025,23:10:58,,9798.3,INR,,,20,000000,M378861,Suresh PLC,5812,Ahmedabad,,IN,315968,T86581,81,00,H483KM,00,Do not honor,,U,IDBI0001,453222,453224,V557714544,19.86,,R000000009380,009380,9876,14/12/2025,,,IDBI,IDBI_BANK,2026-01-04T23:10:58.025471
IDBI0000008696,A00008696,453221******2246,453221,2246,1130,VISA,CREDIT,15/12/2025,23:10:57,,2524.33,INR,,,01,000000,M225370,"Rajagopal, Lall and Khalsa",,Delhi,,IN,167975,T87005,02,00,,05,Insufficient funds,U,M,IDBI0001,453224,453221,V638787668,16.71,17.81,R000000008696,008696,2259,16/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.973227
IDBI0000008193,A00008193,453223******3163,453223,3163,0129,VISA,CREDIT,07/12/2025,23:10:57,,9104.74,INR,,,00,000000,M160337,"Iyengar, Sangha and Dave",5661,Bangalore,,IN,802368,T45259,05,00,M190AE,14,Approved,U,,IDBI0001,453221,453223,V587986876,61.59,,R000000008193,008193,2262,08/12/2025,,N,IDBI,IDBI_BANK,2026-01-04T23:10:57.931058
IDBI0000008319,A00008319,453223******1153,453223,1153,0829,VISA,DEBIT,06/12/2025,23:10:57,,2409.51,INR,,,00,000000,M775179,Dass-Sastry,7011,Pune,,IN,,T83863,05,00,U514UJ,91,Do not honor,N,U,IDBI0001,453222,453223,V610210706,47.19,,R000000008319,008319,2284,07/12/2025,,Y,IDBI,IDBI_BANK,2026-01-04T23:10:57.941135
