txn_reference_number,authorization_id,card_number,card_bin,card_last_digits,card_expiry_mmyy,card_type,card_scheme,transaction_date,transaction_time,transaction_timestamp,transaction_amount,transaction_currency,billing_amount,billing_currency,transaction_type_code,transaction_type_desc,processing_code,merchant_id,merchant_name,merchant_category_code,merchant_category_desc,merchant_city,merchant_state,merchant_country,merchant_postal_code,merchant_address,terminal_id,pos_entry_mode,pos_condition_code,card_present_flag,auth_code,response_code,response_message,auth_date,avs_result,cvv_result,cvv_provided,acquirer_id,acquirer_bin,issuer_bin,network_reference,interchange_fee,service_tax,network_fee,retrieval_reference_number,trace_number,batch_number,settlement_date,fraud_score,risk_category,3ds_authenticated,3ds_version,bank_name,data_source,record_created_at
HDFC0000003985,AUTH00003985,453212******5391,453212,5391,07/29,VISA,CREDIT,2025-12-17,23:10:57,2025-12-17T23:10:57.465501,420.79,INR,,,20,CASH_WITHDRAWAL,000000,HDFC975428,"Agarwal, Varkey and Venkataraman",,,Mumbai,Madhya Pradesh,IND,121968,,TRM25654,81,00,Y,,91,,2025-12-17,N,P,Y,HDFC0001,453211,453212,VISA693286735,85.49,43.38,2.07,REF000000003985,003985,B8672,2025-12-18,6.0,,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.466545
HDFC0000000355,AUTH00000355,453213******7824,453213,7824,03/26,VISA,CREDIT,2026-01-14,23:10:57,2025-12-21T23:10:57.011356,189.43,INR,,,01,REFUND,000000,HDFC196750,Parmer Group,7011,,Lucknow,Bihar,IND,758784,,TRM78082,90,00,Y,A983VP,51,,2025-12-21,A,U,Y,HDFC0001,453214,453213,VISA987269085,84.03,10.17,11.78,REF000000000355,000355,B6217,2025-12-22,43.0,,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.011356
HDFC0000001666,AUTH00001666,453211******4350,453211,4350,05/29,VISA,CREDIT,2025-12-12,23:10:57,2025-12-12T23:10:57.191507,4847.74,INR,,,00,PURCHASE,000000,HDFC434707,"Kala, Sachar and Padmanabhan",5661,,Mumbai,Chhattisgarh,IND,693572,"H.No. 71
Chakrabarti Marg",TRM38297,81,00,Y,A982EM,51,,2025-12-12,A,M,N,HDFC0001,453214,453211,VISA446633118,17.27,20.87,6.08,REF000000001666,001666,B4210,2025-12-13,,,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.191507
HDFC0000001748,AUTH00001748,453212******7882,453212,7882,07/27,VISA,CREDIT,2025-12-27,23:10:57,2025-12-27T23:10:57.199807,9938.06,INR,,,01,REFUND,000000,HDFC441551,Sunder Ltd,5661,,Kolkata,Karnataka,IND,333605,"41/85, Arya Street",TRM30432,90,00,N,A136LZ,91,,2025-12-27,N,N,N,HDFC0001,453214,453212,VISA155514775,80.78,44.09,10.9,REF000000001748,001748,B9958,2025-12-28,64.0,LOW,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.199807
HDFC0000003686,AUTH00003686,453212******2347,453212,2347,10/27,VISA,CREDIT,2025-12-09,23:10:57,2025-12-09T23:10:57.428083,9727.3,INR,,,21,REFUND,000000,HDFC325221,"Parsa, Padmanabhan and Bora",5999,,Kolkata,Uttarakhand,IND,880770,"54/25, Srivastava Street",TRM10392,05,00,Y,A505ZI,51,,2025-12-09,P,U,N,HDFC0001,453214,453212,VISA763204231,21.57,15.48,2.96,REF000000003686,003686,B2072,2025-12-10,89.0,,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.428083
HDFC0000000903,AUTH00000903,453212******8141,453212,8141,10/29,VISA,CREDIT,2025-12-11,23:10:57,2025-12-11T23:10:57.102468,2259.07,INR,,,20,CASH_WITHDRAWAL,000000,HDFC131419,Dhar Inc,,,Chennai,Himachal Pradesh,IND,793865,,TRM24916,81,00,N,A614TC,91,,2025-12-11,N,M,Y,HDFC0001,453214,453212,VISA161779688,75.15,49.42,6.95,REF000000000903,000903,B4122,2025-12-12,,MEDIUM,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.102468
HDFC0000001417,AUTH00001417,453213******6784,453213,6784,03/29,VISA,CREDIT,2026-01-04,23:10:57,2026-01-04T23:10:57.160188,8374.46,INR,,,21,CASH_WITHDRAWAL,000000,HDFC738161,Deshpande-Ravel,,,Pune,Odisha,IND,699227,"44/39
Salvi Zila",TRM94729,02,00,Y,A497AH,00,,2026-01-04,P,P,N,HDFC0001,453213,453213,VISA127543303,81.76,19.76,,REF000000001417,001417,B5476,2026-01-05,52.0,LOW,N,1.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.160188
HDFC0000002269,AUTH00002269,453213******8130,453213,8130,05/26,VISA,CREDIT,2025-12-25,23:10:57,2025-12-25T23:10:57.262236,9679.06,INR,,,20,REFUND,000000,HDFC613864,Nadkarni-Dhawan,,,Jaipur,Manipur,IND,913779,"H.No. 368
Mistry Zila",TRM97887,81,00,N,A980IW,91,,2025-12-25,A,M,Y,HDFC0001,453214,453213,VISA797041488,12.65,27.19,17.81,REF000000002269,002269,B1033,2025-12-26,89.0,,Y,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.262236
HDFC0000000406,AUTH00000406,453214******4536,453214,4536,06/27,VISA,CREDIT,2025-12-24,23:10:57,2025-12-24T23:10:57.024083,4394.03,INR,,,21,CASH_WITHDRAWAL,000000,HDFC512119,Lanka and Sons,5921,,Lucknow,Haryana,IND,946088,,TRM37344,81,00,Y,,51,,2025-12-24,P,P,Y,HDFC0001,453211,453214,VISA714917475,85.49,47.3,16.67,REF000000000406,000406,B4037,2025-12-25,76.0,,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.024083
HDFC0000002631,AUTH00002631,453214******8145,453214,8145,11/29,VISA,CREDIT,2025-12-07,23:10:57,2025-12-07T23:10:57.302278,9435.31,INR,,,21,CASH_WITHDRAWAL,000000,HDFC452944,"Minhas, Dass and Memon",5999,,Mumbai,Meghalaya,IND,507154,"H.No. 009
Andra Road",TRM42663,02,00,N,A916SW,05,,2025-12-07,P,P,Y,HDFC0001,453213,453214,VISA427250121,72.79,16.13,19.62,REF000000002631,002631,B6004,2025-12-08,19.0,MEDIUM,N,2.0,HDFC,HDFC_BANK,2026-01-04T23:10:57.302278
