txn_reference_number,authorization_id,card_number,card_bin,card_last_digits,card_expiry_mmyy,card_type,card_scheme,transaction_date,transaction_time,transaction_timestamp,transaction_amount,transaction_currency,billing_amount,billing_currency,transaction_type_code,transaction_type_desc,processing_code,merchant_id,merchant_name,merchant_category_code,merchant_category_desc,merchant_city,merchant_state,merchant_country,merchant_postal_code,merchant_address,terminal_id,pos_entry_mode,pos_condition_code,card_present_flag,auth_code,response_code,response_message,auth_date,avs_result,cvv_result,cvv_provided,acquirer_id,acquirer_bin,issuer_bin,network_reference,interchange_fee,service_tax,network_fee,retrieval_reference_number,trace_number,batch_number,settlement_date,fraud_score,risk_category,3ds_authenticated,3ds_version,bank_name,data_source,record_created_at
CITI0000000000,AUTH00000000,453245******9351,453245,9351,11/27,MASTERCARD,DEBIT,2025-12-20,04:30:29,2025-12-20T04:30:29.665887,21250.68,INR,13222.62,,20.0,VOID,0.0,CITI480141,Rai-Iyengar,7011.0,,Chennai,Punjab,IND,326307.0,"321, Rajagopal Road",TRM31077,10.0,6.0,Y,A881NF,0,,2025-12-20,,,N,CITI0001,453241.0,453245,VISA556791494,32.87,20.29,,REF000000000000,0.0,B1907,2025-12-23,,,N,,CITI,CITI_BANK,2026-01-05T04:30:29.668158
CITI0000000001,AUTH00000001,453244******6237,453244,6237,06/32,DISCOVER,CREDIT,2025-11-19,04:30:29,2025-11-19T04:30:29.668158,2939.16,INR,,,20.0,,0.0,CITI495286,Sama Ltd,5691.0,,Nagpur,Punjab,IND,,,TRM58889,10.0,6.0,N,A935YR,91,,2025-11-19,U,,N,CITI0001,453242.0,453244,VISA920331532,136.49,,,REF000000000001,1.0,B2312,2025-11-21,,LOW,A,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.668158
CITI0000000002,AUTH00000002,453244******5053,453244,5053,04/31,MASTERCARD,PREPAID,2025-11-27,04:30:29,2025-11-27T04:30:29.668158,10423.65,INR,10212.06,,0.0,,10000.0,,Doshi Group,5999.0,,Indore,Sikkim,USA,,"51/81, Mutti Chowk",TRM64635,90.0,8.0,N,A604JA,0,,2025-11-27,,S,,CITI0001,453241.0,453244,VISA547506547,,32.07,17.67,REF000000000002,2.0,B2640,2025-11-29,,,N,2.2,CITI,CITI_BANK,2026-01-05T04:30:29.668158
CITI0000000003,AUTH00000003,453243******2187,453243,2187,08/30,VISA,CREDIT,2025-12-13,04:30:29,2025-12-13T04:30:29.668158,12358.16,INR,14244.75,,0.0,CASH_WITHDRAWAL,20000.0,CITI716712,Jani-Patil,5812.0,,Chennai,Nagaland,GBR,,,TRM64751,2.0,1.0,Y,A178MM,0,,2025-12-13,N,N,Y,CITI0001,453246.0,453243,VISA479763582,163.96,,22.02,REF000000000003,3.0,B3460,2025-12-16,,HIGH,A,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.668158
CITI0000000004,AUTH00000004,453244******0360,453244,360,02/32,MASTERCARD,PREPAID,2025-12-15,04:30:29,2025-12-15T04:30:29.668158,19825.46,INR,,USD,21.0,VOID,0.0,CITI121370,Behl-Parmar,,,Bhopal,,SGP,229609.0,,TRM19476,5.0,2.0,Y,A232VY,0,,2025-12-15,S,M,N,CITI0001,453245.0,453244,VISA343347603,140.26,,9.37,REF000000000004,4.0,B9393,2025-12-18,29.0,,Y,,CITI,CITI_BANK,2026-01-05T04:30:29.669198
CITI0000000005,AUTH00000005,453242******2001,453242,2001,08/26,MASTERCARD,PREPAID,2026-01-04,04:30:29,2026-01-04T04:30:29.669198,10872.3,INR,9245.68,,9.0,PURCHASE,90000.0,CITI939537,,5311.0,,Chandigarh,,SGP,629007.0,"28/20
Bajaj Zila",TRM81201,5.0,1.0,Y,A276FB,0,,2026-01-04,N,,N,CITI0001,453244.0,453242,VISA303032495,,47.28,10.14,REF000000000005,5.0,B5798,2026-01-05,,MEDIUM,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.669198
CITI0000000006,AUTH00000006,453241******0551,453241,551,04/30,MASTERCARD,CREDIT,2025-12-20,04:30:29,2025-12-20T04:30:29.669198,-184.18,INR,19015.86,,0.0,CASH_WITHDRAWAL,0.0,CITI862268,"Chadha, Dhar and Mukherjee",5691.0,,Bhopal,Punjab,GBR,947668.0,,TRM79621,2.0,0.0,Y,A065IH,0,,2025-12-20,,S,Y,CITI0001,453244.0,453241,VISA814205650,8.29,5.73,,REF000000000006,6.0,B5625,2025-12-22,90.0,,A,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.669198
CITI0000000007,AUTH00000007,453245******0914,453245,914,07/27,DISCOVER,PREPAID,2025-11-17,04:30:29,2025-11-17T04:30:29.669198,14472.57,GBP,,INR,0.0,VOID,10000.0,CITI958734,Iyer-Bhakta,,,Pune,,USA,504910.0,"48, Date Marg",TRM20182,81.0,8.0,N,A570IV,54,,2025-11-17,N,,Y,CITI0001,453243.0,453245,VISA608377609,,30.69,,REF000000000007,7.0,B9218,2025-11-19,32.0,HIGH,,,CITI,CITI_BANK,2026-01-05T04:30:29.669198
,AUTH00000008,453244******0610,453244,610,EXPIRED,MASTERCARD,PREPAID,2025-12-03,04:30:29,2025-12-03T04:30:29.669198,8097.7,INR,,,20.0,REFUND,0.0,CITI680190,"Dora, Rege and Dash",4900.0,,Bangalore,Bihar,SGP,999999.0,,TRM18952,10.0,2.0,N,A124LL,0,,2025-12-03,,N,,CITI0001,453244.0,453244,VISA684233778,130.1,46.09,11.2,REF000000000008,8.0,B4881,2025-12-06,35.0,,,2.0,CITI,CITI_BANK,2026-01-05T04:30:29.669198
9,AUTH00000009,000000******0000,0,0,07/31,AMEX,DB,2025-12-04,04:30:29,2025-12-04T04:30:29.669198,24720.8,INR,,,20.0,PURCHASE,10000.0,CITI572946,,5411.0,,,,USA,946850.0,,TRM89796,5.0,0.0,N,A623JU,91,,2025-12-04,P,,Y,CITI0001,453246.0,0,VISA650230785,,21.8,28.78,REF000000000009,,,2025-12-05,2.0,,A,,CITI,CITI_BANK,2026-01-05T04:30:29.669198
