transaction_reference,authorization_number,primary_account_number,card_bin_number,card_suffix,card_expiry_date,card_product_type,account_type,transaction_date,transaction_time,local_date,local_time,transaction_amount_inr,transaction_currency_code,settlement_amount,settlement_currency,transaction_code,transaction_description,merchant_identifier,merchant_business_name,mcc_code,merchant_location_city,merchant_location_state,merchant_country_code,merchant_postal_code,merchant_phone,terminal_identifier,pos_entry_capability,pos_cardholder_presence,card_present_indicator,authorization_response_code,response_code,response_description,approval_date,address_verification_result,cvv_verification_result,cvv_presence_indicator,acquiring_institution_id,acquiring_bin,issuing_bin,visa_network_reference,interchange_reimbursement_fee,service_charge,network_processing_fee,gst_amount,retrieval_reference_number,system_trace_audit_number,batch_identifier,settlement_date,fraud_detection_score,risk_assessment,secure_3d_auth_status,secure_3d_eci,bank_name,data_source,record_created_timestamp
SBI000000004074,AUTH0004074,453233******5748,453233,5748,3011,VISA,CREDIT,20251210,231057,20251210,231057,3313.14,356,,,000000,POS PURCHASE,SBI333433,Manne Inc,,Jaipur,Haryana,IND,249404,,TERM299777,90,1,1,A80437,91,Approved,20251210,U,P,1,SBI00001,453232,453233,VISA6932992507,92.09,46.5,4.65,17.6,RRN0000004074,004074,BATCH13958,20251212,,HIGH,U,,SBI,SBI_BANK,2026-01-04T23:10:57.478137
SBI000000006268,AUTH0006268,453233******2913,453233,2913,2602,VISA,SAVINGS,20251225,231057,20251225,231057,6730.29,356,,,200000,ONLINE PAYMENT,SBI991779,"Divan, Dubey and Mallick",,Chennai,West Bengal,IND,855772,,TERM739186,81,1,0,A11771,61,Insufficient funds,20251225,P,U,1,SBI00001,453231,453233,VISA5872565708,29.0,27.86,17.01,,RRN0000006268,006268,BATCH51635,20251227,,,N,,SBI,SBI_BANK,2026-01-04T23:10:57.733227
SBI000000006173,AUTH0006173,453231******6353,453231,6353,2608,VISA,SAVINGS,20251215,231057,20251215,231057,1680.5,356,,,000000,ONLINE PAYMENT,SBI275264,Sheth LLC,5541,Mumbai,Rajasthan,IND,783207,,TERM144236,02,1,0,A07721,14,Do not honor,20251215,U,N,0,SBI00001,453232,453231,VISA1818181150,79.91,38.61,15.06,9.8,RRN0000006173,006173,BATCH39609,20251217,976.0,MEDIUM,A,,SBI,SBI_BANK,2026-01-04T23:10:57.722307
SBI000000005150,AUTH0005150,365175******3322,365175,3322,2605,VISA,CREDIT,20251216,231057,20251216,231057,1499.4,356,,,010000,POS PURCHASE,SBI806922,Parmer LLC,5999,Hyderabad,Goa,IND,,08784041471,TERM914792,90,1,0,A40887,91,Approved,20251216,Y,P,1,SBI00001,453233,365175,VISA8798766245,,38.21,15.5,18.46,RRN0000005150,005150,BATCH22850,20251218,,LOW,A,06,SBI,SBI_BANK,2026-01-04T23:10:57.605543
SBI000000005943,AUTH0005943,453232******2101,453232,2101,2711,VISA,SAVINGS,05-12-2025,231057,20251205,231057,1048.88,356,,,000000,ATM WITHDRAWAL,SBI857958,Thakkar-Baria,7011,Jaipur,Himachal Pradesh,IND,728258,,TERM924384,05,0,1,A78054,05,Insufficient funds,20251205,U,S,1,SBI00001,453233,453232,VISA2909863638,11.41,19.66,2.05,16.74,RRN0000005943,005943,BATCH82546,20251206,,,N,,SBI,SBI_BANK,2026-01-04T23:10:57.693415
SBI000000006628,AUTH0006628,453231******2395,453231,2395,2807,VISA,SAVINGS,20251212,231057,20251212,231057,9777.06,356,,,200000,REFUND,SBI801005,"Uppal, Babu and Bhatia",5311,Hyderabad,,IND,374818,,TERM541618,05,0,1,A88148,51,Insufficient funds,20251212,A,N,1,SBI00001,453234,453231,VISA4939632324,96.0,13.79,2.02,22.17,RRN0000006628,006628,BATCH98720,20251214,319.0,HIGH,U,05,SBI,SBI_BANK,2026-01-04T23:10:57.772971
SBI000000006404,AUTH0006404,129937******6120,129937,6120,3004,VISA,SAVINGS,01-01-2026,231057,20260101,231057,1751.78,356,,,010000,ATM WITHDRAWAL,SBI396985,"Dara, Sharma and Bhandari",,Pune,Sikkim,IND,613211,07659544088,TERM226842,02,2,0,A88503,14,Approved,20260101,U,P,1,SBI00001,453232,129937,VISA1013185763,20.2,,6.37,,RRN0000006404,006404,BATCH32527,20260103,536.0,,N,06,SBI,SBI_BANK,2026-01-04T23:10:57.748804
SBI000000004555,AUTH0004555,453231******3224,453231,3224,3003,VISA,CREDIT,20251229,231057,20251229,231057,7380.12,356,,,010000,REFUND,SBI499508,"Gade, Gaba and Batta",5651,Hyderabad,Assam,IND,915374,,TERM291137,02,1,1,A52979,91,Do not honor,20251229,U,N,1,SBI00001,453232,453231,VISA2763021956,,34.46,,,RRN0000004555,004555,BATCH85882,20251230,261.0,MEDIUM,N,05,SBI,SBI_BANK,2026-01-04T23:10:57.536941
SBI000000004569,AUTH0004569,453232******4192,453232,4192,2612,VISA,SAVINGS,2025-12-07,231057,20251207,231057,3293.02,356,,,200000,ATM WITHDRAWAL,SBI979117,Jani PLC,5999,Pune,Sikkim,IND,578483,,TERM224823,05,1,0,A34124,00,Approved,20251207,U,U,1,SBI00001,453232,453232,VISA5609049518,49.84,39.28,18.35,23.11,RRN0000004569,004569,BATCH17442,20251209,,MEDIUM,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.536941
SBI000000006151,AUTH0006151,453232******3837,453232,3837,2809,VISA,CURRENT,20251227,231057,20251227,231057,5616.25,356,,,000000,REFUND,SBI362195,Chopra-Pathak,5942,Lucknow,Maharashtra,IND,467670,,TERM599147,90,2,0,A74079,91,Insufficient funds,20251227,P,U,1,SBI00001,453232,453232,VISA2148739078,77.66,17.03,5.55,,RRN0000006151,006151,BATCH77517,20251228,598.0,HIGH,N,06,SBI,SBI_BANK,2026-01-04T23:10:57.721258
SBI000000005528,AUTH0005528,453234******9170,453234,9170,2906,VISA,SAVINGS,20251209,231057,20251209,231057,731.72,356,,,000000,POS PURCHASE,SBI351126,"Wason, Lata and Hayre",,Bangalore,Uttar Pradesh,IND,469994,,TERM256410,02,1,1,A86844,51,Insufficient funds,20251209,S,P,1,SBI00001,453234,453234,VISA2213350160,44.03,22.84,11.68,,RRN0000005528,005528,BATCH78606,20251211,652.0,,Y,06,SBI,SBI_BANK,2026-01-04T23:10:57.648793
SBI000000004796,AUTH0004796,453234******6830,453234,6830,2604,VISA,SAVINGS,20251219,231057,20251219,231057,9870.3,356,,,010000,ATM WITHDRAWAL,SBI910574,Peri-Murty,5814,Bangalore,Bihar,IND,118818,+918895638367,TERM506560,05,2,0,A66570,05,Do not honor,20251219,Y,N,0,SBI00001,453233,453234,VISA2145714946,,44.54,19.69,21.44,RRN0000004796,004796,BATCH34660,20251220,339.0,HIGH,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.565969
SBI000000006939,AUTH0006939,453231******4167,453231,4167,2707,VISA,SAVINGS,20251218,231057,20251218,231057,-8633.98,356,,,200000,POS PURCHASE,SBI977449,"Sawhney, Vig and Om",5732,Mumbai,Haryana,IND,,09280639682,TERM469776,02,1,0,A48172,05,Approved,20251218,Y,S,1,SBI00001,453231,453231,VISA8420267646,22.06,47.16,,,RRN0000006939,006939,BATCH56700,20251219,301.0,LOW,A,,SBI,SBI_BANK,2026-01-04T23:10:57.807839
SBI000000005833,AUTH0005833,453231******3432,453231,3432,2809,VISA,CURRENT,20251212,231057,20251212,231057,62.44,356,,,000000,REFUND,SBI895278,"Chauhan, Hari and Choudhary",5812,Ahmedabad,Odisha,IND,203527,08288276343,TERM845117,90,1,1,A94635,00,Do not honor,20251212,U,S,0,SBI00001,453233,453231,VISA9519967598,,,7.37,19.96,RRN0000005833,005833,BATCH79311,20251213,565.0,MEDIUM,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.686591
SBI000000005572,AUTH0005572,453232******5392,453232,5392,3005,VISA,SAVINGS,20251212,231057,20251212,231057,1842.12,356,,,200000,ATM WITHDRAWAL,SBI206398,Agarwal PLC,7011,Pune,Sikkim,IND,130137,04853159964,TERM130708,05,2,0,A60872,91,Approved,20251212,A,P,0,SBI00001,453232,453232,VISA5244906341,99.03,12.63,16.19,17.09,RRN0000005572,005572,BATCH62020,20251214,326.0,LOW,A,07,SBI,SBI_BANK,2026-01-04T23:10:57.654113
SBI000000007397,AUTH0007397,453234******3812,453234,3812,2810,VISA,SAVINGS,2025-12-21,231057,20251221,231057,6968.43,356,,,000000,REFUND,SBI101415,"Chadha, Murthy and Munshi",5921,Pune,Uttar Pradesh,IND,242721,,TERM359500,05,0,0,A81673,51,Approved,20251221,A,N,1,SBI00001,453231,453234,VISA4400489312,35.11,,7.68,,RRN0000007397,007397,BATCH57202,20251222,344.0,LOW,N,07,SBI,SBI_BANK,2026-01-04T23:10:57.858242
SBI000000005870,AUTH0005870,453232******9250,453232,9250,2711,VISA,CREDIT,20251215,231057,20251215,231057,-1291.06,356,,,000000,ATM WITHDRAWAL,SBI385650,Nagi and Sons,5651,Pune,Haryana,IND,140462,,TERM250187,81,0,0,A24970,05,Insufficient funds,20251215,Y,U,1,SBI00001,453234,453232,VISA6301716667,,11.2,14.37,,RRN0000005870,005870,BATCH18426,20251217,,HIGH,U,,SBI,SBI_BANK,2026-01-04T23:10:57.690180
SBI000000004409,AUTH0004409,453232******4395,453232,4395,2707,VISA,CURRENT,31-12-2025,231057,20251231,231057,2135.75,356,,,010000,ONLINE PAYMENT,SBI227291,Kibe Ltd,,Ahmedabad,,IND,395099,,TERM638850,81,0,1,,61,Do not honor,20251231,U,U,1,SBI00001,453231,453232,VISA5262984870,11.61,16.76,9.87,,RRN0000004409,004409,BATCH53780,20260101,990.0,LOW,U,,SBI,SBI_BANK,2026-01-04T23:10:57.518513
SBI000000006820,AUTH0006820,453232******7547,453232,7547,2609,VISA,SAVINGS,20260102,231057,20260102,231057,838.22,356,,,200000,ONLINE PAYMENT,SBI730155,"Basu, Radhakrishnan and Sandhu",5691,Hyderabad,Odisha,IND,596829,,TERM596893,02,0,0,A58049,00,Insufficient funds,20260102,U,S,0,SBI00001,453234,453232,VISA3672012787,24.5,36.43,7.0,13.13,RRN0000006820,006820,BATCH65843,20260104,354.0,HIGH,A,05,SBI,SBI_BANK,2026-01-04T23:10:57.792796
SBI000000005159,AUTH0005159,453231******9501,453231,9501,2803,VISA,CREDIT,20260101,231057,20260101,231057,459.91,356,,,200000,POS PURCHASE,SBI684115,Kuruvilla-Chander,7011,Hyderabad,Karnataka,IND,,7961942380,TERM289214,90,0,1,A21245,91,Do not honor,20260101,A,N,0,SBI00001,453231,453231,VISA1871193260,65.87,,,22.25,RRN0000005159,005159,BATCH23708,20260103,,,U,,SBI,SBI_BANK,2026-01-04T23:10:57.606600
SBI000000006840,AUTH0006840,453232******5924,453232,5924,2602,VISA,CURRENT,17-12-2025,231057,20251217,231057,3490.41,356,,,200000,ONLINE PAYMENT,SBI828438,Bala PLC,5661,Ahmedabad,Kerala,IND,167151,,TERM311896,05,2,1,,14,Insufficient funds,20251217,A,M,0,SBI00001,453233,453232,VISA1102986155,,,16.19,23.25,RRN0000006840,006840,BATCH62938,20251219,352.0,HIGH,A,05,SBI,SBI_BANK,2026-01-04T23:10:57.792796
SBI000000006722,AUTH0006722,453232******8610,453232,8610,2609,VISA,CURRENT,20251222,231057,20251222,231057,-2950.17,356,,,010000,ATM WITHDRAWAL,SBI169794,Nayar-Ravel,5814,Lucknow,Meghalaya,IND,476344,,TERM766842,05,2,1,A85876,14,Do not honor,20251222,U,N,1,SBI00001,453231,453232,VISA7970675265,,43.72,19.43,22.95,RRN0000006722,006722,BATCH57269,20251224,,HIGH,A,,SBI,SBI_BANK,2026-01-04T23:10:57.783208
SBI000000006409,AUTH0006409,453231******9885,453231,9885,2709,VISA,CREDIT,20251209,231057,20251209,231057,-6677.56,356,,,010000,ATM WITHDRAWAL,SBI834463,Dewan and Sons,5411,Pune,Bihar,IND,,,TERM324118,81,2,1,,91,Approved,20251209,U,S,0,SBI00001,453233,453231,VISA1557168862,,45.38,,10.38,RRN0000006409,006409,BATCH19399,20251210,313.0,HIGH,N,,SBI,SBI_BANK,2026-01-04T23:10:57.749825
SBI000000005641,AUTH0005641,453233******8584,453233,8584,2702,VISA,SAVINGS,20251226,231057,20251226,231057,5879.35,356,,,200000,POS PURCHASE,SBI240043,"Morar, Chadha and Mohan",5814,Ahmedabad,Kerala,IND,610736,5097333098,TERM304410,81,1,1,,91,Do not honor,20251226,Y,M,0,SBI00001,453231,453233,VISA8739997087,25.48,32.21,15.57,24.66,RRN0000005641,005641,BATCH88488,20251228,93.0,LOW,U,,SBI,SBI_BANK,2026-01-04T23:10:57.662506
SBI000000005205,AUTH0005205,453232******7325,453232,7325,2906,VISA,SAVINGS,20251216,231057,20251216,231057,2678.8,356,,,000000,REFUND,SBI294783,"Batta, Johal and Goswami",5912,Kolkata,Goa,IND,347979,,TERM978384,90,0,1,A50819,91,Approved,20251216,P,P,0,SBI00001,453234,453232,VISA2454159079,,46.99,2.51,22.19,RRN0000005205,005205,BATCH61694,20251218,448.0,MEDIUM,U,,SBI,SBI_BANK,2026-01-04T23:10:57.610928
SBI000000004842,AUTH0004842,453234******6970,453234,6970,2701,VISA,CURRENT,20251225,231057,20251225,231057,7499.46,356,,,000000,REFUND,SBI317315,Vaidya-Nagi,5921,Hyderabad,Telangana,IND,196673,,TERM344606,02,0,0,A29799,14,Approved,20251225,S,S,1,SBI00001,453233,453234,VISA6014351439,,43.7,,,RRN0000004842,004842,BATCH53490,20251227,117.0,LOW,Y,,SBI,SBI_BANK,2026-01-04T23:10:57.569915
SBI000000004457,AUTH0004457,453234******2792,453234,2792,2711,VISA,CURRENT,20251207,231057,20251207,231057,7069.2,356,,,000000,ONLINE PAYMENT,SBI687392,Ratta-Narayan,5411,Jaipur,Kerala,IND,,+916369851676,TERM902609,02,0,1,A55999,14,Do not honor,20251207,S,P,0,SBI00001,453233,453234,VISA8331284494,79.29,5.01,15.34,13.05,RRN0000004457,004457,BATCH89559,20251208,871.0,,U,06,SBI,SBI_BANK,2026-01-04T23:10:57.524025
SBI000000006125,AUTH0006125,453234******8933,453234,8933,2808,VISA,CREDIT,20251214,231057,20251214,231057,6784.25,356,,,010000,ONLINE PAYMENT,SBI787984,"Raval, Chokshi and Dora",4121,Bangalore,Kerala,IND,218195,+917434210843,TERM551248,02,2,1,A98893,00,Do not honor,20251214,S,S,1,SBI00001,453232,453234,VISA6845220069,49.58,,19.77,13.89,RRN0000006125,006125,BATCH74311,20251216,344.0,HIGH,A,07,SBI,SBI_BANK,2026-01-04T23:10:57.717975
SBI000000005229,AUTH0005229,453233******6093,453233,6093,2606,VISA,CREDIT,20251230,231057,20251230,231057,6116.77,356,,,000000,POS PURCHASE,SBI550573,Dixit-Khanna,7011,Hyderabad,Punjab,IND,964888,07783907516,TERM343134,81,0,0,A38066,05,Insufficient funds,20251230,A,S,0,SBI00001,453231,453233,VISA8105544318,72.21,35.35,7.32,21.34,RRN0000005229,005229,BATCH35288,20260101,131.0,LOW,A,05,SBI,SBI_BANK,2026-01-04T23:10:57.613270
SBI000000005360,AUTH0005360,453232******1780,453232,1780,2803,VISA,SAVINGS,20251212,231057,20251212,231057,9854.57,356,,,000000,ATM WITHDRAWAL,SBI634584,Thaman-Oza,,Jaipur,Tamil Nadu,IND,645544,,TERM958551,90,1,0,A89320,14,Insufficient funds,20251212,Y,P,1,SBI00001,453233,453232,VISA4556196441,48.82,42.36,12.81,20.23,RRN0000005360,005360,BATCH27813,20251214,,LOW,A,06,SBI,SBI_BANK,2026-01-04T23:10:57.630312
